rowindex,contract,price_crossing,price_distortion,roll_start,roll_heart,near_minus_next,ctd_last_first,ctd1_percent,delivery_cost,delivery_ratio,squeeze
114,FVH94 Comdty,1,1,0.089073928,1,0.199680257,0.987404887,1,0.600386104,0.17893216,FALSE
115,FVM94 Comdty,0.06825955,0.941492044,0.027545017,1,1,1,0.609838634,0.763987987,1,TRUE
116,FVU94 Comdty,0.166734969,0.181590979,0.06946831,0.19141211,0.197697996,0.832718622,1,1,0.164934456,FALSE
117,FVZ94 Comdty,1,0.06693554,0.085044096,1,1,0.163625186,1,1,0.935975924,FALSE
118,FVH95 Comdty,0.086995182,1,0.894048979,0.618189894,1,0.807135892,0.068008837,1,1,TRUE
119,FVM95 Comdty,1,1,0.004539582,0.135177829,0.053125394,0.010290818,0.182145614,1,0.132947401,TRUE
120,FVU95 Comdty,0.186473511,1,1,1,1,0.002973855,0.052740985,1,0.10816222,FALSE
121,FVZ95 Comdty,1,1,0.739593066,0.163758621,1,0.736878747,1,0.77723697,1,TRUE
122,FVH96 Comdty,1,0.030204013,1,0.167648034,0.077240551,0.146819285,0.118478463,0.119150654,0.040167984,FALSE
123,FVM96 Comdty,1,1,0.102280805,1,0.070163932,0.063754898,0.758142464,0.112123419,1,TRUE
124,FVU96 Comdty,0.606525626,0.129362319,0.750107127,0.18487996,0.977071156,0.04907233,1,0.151384454,0.0648595,FALSE
125,FVZ96 Comdty,1,0.039942566,1,0.186442758,0.926467151,1,0.716773553,0.197320421,0.163840166,FALSE
126,FVH97 Comdty,0.075043111,0.064297089,1,0.083555593,0.114787119,0.946112322,0.666261732,1,0.137104946,FALSE
127,FVM97 Comdty,0.003837268,0.913532849,0.142745034,0.022095627,0.11128675,0.177326356,0.069815947,0.048999774,1,TRUE
128,FVU97 Comdty,0.946679341,0.079615148,1,1,0.736569526,0.137162471,0.97383048,1,1,FALSE
129,FVZ97 Comdty,0.140011149,1,0.04405642,0.604480271,0.828506634,0.160398304,0.160967948,0.918228416,1,TRUE
130,FVH98 Comdty,0.158905464,1,0.60067282,0.016183298,0.923263755,0.914849353,0.123471507,1,0.08834502,TRUE
131,FVM98 Comdty,0.029381193,0.587379807,0.034709364,1,0.141583228,0.152448145,1,1,0.705476366,FALSE
132,FVU98 Comdty,1,1,1,0.187002132,0.02234947,0.168734808,0.786695264,0.08480084,1,FALSE
133,FVZ98 Comdty,0.009320105,1,0.058075612,1,0.063292525,1,0.00933954,0.187139064,0.044338062,TRUE
134,FVH99 Comdty,0.179753696,0.036187322,0.144895739,0.737124315,0.93811852,0.164414726,0.027813116,1,0.961120847,FALSE
135,FVM99 Comdty,0.189765058,1,0.111314802,0.072663697,0.019030274,0.083882899,0.13507545,1,1,TRUE
136,FVU99 Comdty,0.758597969,0.049057839,1,1,0.93201904,0.059597366,0.732506521,1,1,FALSE
137,FVZ99 Comdty,1,1,1,0.013661157,1,1,0.076167283,0.987247575,0.128792867,FALSE
138,FVH00 Comdty,0.636212625,0.021195985,0.177343397,0.108918077,0.171088444,1,1,1,0.100874153,TRUE
139,FVM00 Comdty,0.591523493,0.111513914,0.900444589,0.671459012,0.005903832,0.146175132,0.842945169,0.068849142,0.91955033,FALSE
140,FVU00 Comdty,0.160937485,0.706028323,1,1,0.609494983,0.078526284,0.043996023,1,0.16680993,FALSE
141,FVZ00 Comdty,1,1,0.758484005,1,1,0.015129761,0.112852656,0.831973771,1,TRUE
142,FVH01 Comdty,0.759437665,0.945346987,1,1,1,0.849366145,0.199945218,0.851177603,0.16035685,TRUE
143,FVM01 Comdty,0.199824576,1,0.933953083,1,0.585099125,0.135714827,0.164448822,0.14710084,0.847187418,TRUE
144,FVU01 Comdty,0.100631643,0.568231866,0.137632608,0.80983651,1,0.192468511,0.003287413,1,1,TRUE
145,FVZ01 Comdty,0.144159232,1,0.158943662,0.090867787,0.154905631,0.152162317,0.098600434,0.100606387,0.102295419,FALSE
146,FVH02 Comdty,1,0.155587762,1,0.829233665,0.058060646,1,0.009470097,0.664039048,0.047426313,TRUE
147,FVM02 Comdty,0.185972695,0.807907554,1,0.167769787,0.937483884,0.101844991,1,0.035808194,1,TRUE
148,FVU02 Comdty,0.593854357,1,1,1,0.18706666,1,0.056565923,0.919994861,1,FALSE
149,FVZ02 Comdty,0.714429672,1,0.995576477,1,1,0.086001559,0.06620309,0.063830878,0.05944417,FALSE
150,FVH03 Comdty,1,0.551688395,0.671271401,0.907441333,0.119630819,0.900094234,0.194992704,0.144315765,0.813023538,FALSE
151,FVM03 Comdty,0.17027945,1,0.038166885,0.066944647,0.058419836,0.878321003,0.060323078,0.033040176,0.050264836,TRUE
152,FVU03 Comdty,0.711871838,0.705898231,0.178691421,0.043384137,0.598539858,1,0.152499602,1,1,TRUE
153,FVZ03 Comdty,0.067305516,1,1,0.074694093,0.016879588,0.199352089,0.169872588,0.065124798,0.73124221,TRUE
154,FVH04 Comdty,0.154330572,1,1,1,1,1,1,0.625357008,0.144539036,FALSE
155,FVM04 Comdty,0.116999439,0.133464833,0.589581022,0.134753724,0.029501285,0.16191403,0.756063882,0.146566342,1,FALSE
156,FVU04 Comdty,0.980875267,1,1,1,0.065094779,0.051530181,0.614643231,0.101347523,0.07646571,TRUE
157,FVZ04 Comdty,0.861585306,0.120615204,0.165860593,0.105003681,0.99799825,1,0.592262896,1,1,TRUE
158,FVH05 Comdty,1,1,0.705456135,0.148524367,0.775205134,0.176112491,1,0.0068612,0.142102335,FALSE
159,FVM05 Comdty,0.666877093,0.71092357,0.935466992,1,0.132222215,1,0.811807437,0.74565849,0.00238545,FALSE
160,FVU05 Comdty,0.193706074,1,0.082376808,0.026401191,0.04921097,1,1,1,0.054971875,FALSE
161,FVZ05 Comdty,0.110309692,1,1,0.125208898,1,0.187867116,0.05491771,0.066504803,0.728245548,FALSE
162,FVH06 Comdty,0.148486717,1,0.088892521,0.906545227,0.000325334,1,0.117863685,0.100297669,0.11543558,TRUE
163,FVM06 Comdty,0.09650238,0.090028308,0.075769106,1,0.609535682,1,0.004378877,1,0.186533389,TRUE
164,FVU06 Comdty,1,0.077461595,0.927650943,0.113812719,0.689928811,0.626379105,0.676541436,1,0.013665841,FALSE
165,FVZ06 Comdty,0.01326853,0.043825213,1,0.049807039,0.021029827,1,0.96448646,0.051867577,0.708826568,TRUE
166,FVH07 Comdty,0.950768582,0.026032595,0.085983082,0.189528508,0.146200799,0.005327688,0.696739534,1,0.066163958,FALSE
167,FVM07 Comdty,0.843380821,0.195385903,0.082858545,1,1,0.064361081,0.199396535,0.773543993,0.975458042,FALSE
168,FVU07 Comdty,0.189429484,0.144204919,0.088193589,0.147478046,0.161710417,1,0.146045055,1,0.099037861,FALSE
